,distance,drawdown,head
0,0.0,104.0,50.0
1,242.47039779618348,73.78490733997616,80.21509266002384
2,484.94079559236695,52.334968216999584,101.66503178300042
3,727.4111933885504,37.10691960178629,116.89308039821371
4,969.8815911847339,26.29593207607944,127.70406792392056
5,1212.3519889809174,18.6211602430744,135.3788397569256
6,1454.8223867771007,13.17354899583799,140.826451004162
7,1697.2927845732843,9.307830169945532,144.69216983005447
8,1939.7631823694678,6.565886890186789,147.4341131098132
9,2182.2335801656513,4.622383258438049,149.37761674156195
10,2424.703977961835,3.246197182938346,150.75380281706165
11,2667.1743757580184,2.2730679908252114,151.7269320091748
12,2909.6447735542015,1.5862007031270196,152.41379929687298
13,3152.115171350385,1.1025134584219813,152.89748654157802
14,3394.5855691465686,0.7628855656366795,153.23711443436332
15,3637.055966942752,0.5252404535640665,153.47475954643593
16,3879.5263647389356,0.3596366438228529,153.64036335617715
17,4121.996762535119,0.24478069919749146,153.7552193008025
18,4364.467160331303,0.16554718657621947,153.83445281342378
19,4606.937558127486,0.1112121352858253,153.88878786471417
